trade_date,classification,total_pnl,total_volume,avg_trade_size
2023-05-01,greed,0.0,477.0,159.0
2023-12-05,extreme greed,0.0,50005.83,5556.203333333334
2023-12-14,greed,-205.43473700000007,113203.35,10291.213636363636
2023-12-15,greed,-24.632033999999997,10609.95,5304.975
2023-12-16,greed,0.0,15348.77,5116.256666666667
2023-12-17,greed,304.982785,116278.02,8305.572857142857
2023-12-18,greed,0.0,31164.179999999997,15582.089999999998
2023-12-19,greed,1000.5386120000001,91602.41,6106.827333333334
2023-12-20,greed,162.732282,141636.79,7868.710555555556
2023-12-21,greed,537.211402,125233.97,2555.795306122449
2023-12-22,greed,141.832675,88874.28,8887.428
2023-12-23,greed,146.936704,78438.25,6033.711538461538
2023-12-24,greed,1008.619956,402954.94,10332.177948717948
2023-12-25,greed,-245.081348,59948.51,19982.836666666666
2023-12-27,greed,-704.8892269999999,171411.06,6121.823571428571
2023-12-28,greed,-970.730876,100117.25,4352.923913043478
2023-12-29,greed,508.92214299999995,569559.72,11391.1944
2023-12-30,greed,354.998648,702550.21,13510.58096153846
2024-01-01,greed,-129.53146,264239.52999999997,14679.973888888888
2024-01-02,greed,783.979116,121348.74,7138.1611764705885
2024-01-03,greed,866.015507,394499.36,5888.050149253731
2024-01-04,greed,-67.60364,99792.54000000001,19958.508
2024-01-05,greed,164.141565,1703942.66,25817.31303030303
2024-01-06,greed,135.58166400000002,298521.4,13569.154545454547
2024-01-07,greed,-835.681235,1048850.06,10812.887216494846
2024-01-08,greed,-269.874439,1522452.43,11894.159609375
2024-01-09,extreme greed,-826.349863,870051.97,12429.313857142857
2024-01-10,greed,-1517.091342,2057479.48,10660.515440414507
2024-01-11,extreme greed,-164.08950099999998,305314.1,14538.766666666666
2024-01-12,greed,-1925.519024,200082.27,28583.181428571428
2024-01-15,neutral,152.85358,50636.1,3616.8642857142854
2024-01-16,greed,-2299.171458,116427.33,12936.37
2024-01-17,greed,813.2741110000001,800831.03,15110.019433962265
2024-01-18,greed,68.93319,424631.52999999997,9231.120217391304
2024-01-19,neutral,-385.419235,428428.97,8925.603541666665
2024-01-20,neutral,-146.57487000000003,1070090.51,10095.193490566038
2024-01-21,greed,266.58114600000005,103129.74,9375.43090909091
2024-01-22,greed,1375.640959,337878.99,3975.0469411764707
2024-01-23,neutral,-369.2447299999998,414518.93000000005,9211.531777777778
2024-01-24,neutral,-2808.353815,965084.59,14192.42044117647
2024-01-25,neutral,-3093.6293849999997,66566.13,11094.355000000001
2024-01-26,neutral,90.2,11773.21,2354.642
2024-01-28,neutral,-2478.06972,18109.03,1646.2754545454545
2024-01-29,greed,486.562542,414208.18,5597.407837837838
2024-01-30,greed,-173.65419100000003,401011.38,8183.905714285715
2024-01-31,greed,-799.840817,6305647.13,7340.683504074505
2024-02-01,greed,0.0,2008.18,334.69666666666666
2024-02-02,greed,456.423473,474278.43,11292.343571428572
2024-02-03,greed,223.30918699999998,603820.0,10782.5
2024-02-04,greed,47.62389499999999,203187.53,5805.358
2024-02-05,greed,-33.45419400000003,770198.26,10697.198055555556
2024-02-06,greed,-215.615907,8047153.41,7396.280707720588
2024-02-07,greed,241.24212,6758.73,450.582
2024-02-08,greed,770.756024,26051.12,2605.112
2024-02-11,greed,983.443176,212311.82,6244.465294117647
2024-02-12,greed,913.8817869999998,227247.69999999998,14202.981249999999
2024-02-13,extreme greed,559.44389,1999.99,142.85642857142858
2024-02-14,greed,3830.599833,320839.88,2890.4493693693694
2024-02-15,greed,1840.797677,185188.04,2939.4926984126987
2024-02-16,greed,5491.768834,564896.51,3103.826978021978
2024-02-17,extreme greed,1929.6418,406118.07,4320.405
2024-02-18,greed,477.6248299999999,157048.17,1619.0532989690723
2024-02-19,extreme greed,4317.768563,286377.2,2835.417821782178
2024-02-20,greed,3263.628824,119419.72,3062.0441025641026
2024-02-21,extreme greed,1858.7985700000002,108047.51999999999,4911.250909090909
2024-02-22,greed,3894.1050699999996,373033.87,4239.02125
2024-02-23,extreme greed,1418.55293,111106.14,776.966013986014
2024-02-25,greed,-30.7705,4480.13,896.0260000000001
2024-02-26,greed,4416.8473,192187.14,4927.875384615385
2024-02-27,extreme greed,888.511733,209362.3,3323.2111111111108
2024-02-28,extreme greed,2503.747235,171107.13,3802.380666666667
2024-02-29,extreme greed,9813.996992,395666.73,3410.9200862068965
2024-03-01,extreme greed,8244.241409,472974.7,3452.370072992701
2024-03-02,extreme greed,230.90060000000005,63197.56,2038.6309677419354
2024-03-03,extreme greed,8361.086245,390745.68,4946.1478481012655
2024-03-04,extreme greed,27799.775742,1577996.87,5259.989566666667
2024-03-05,extreme greed,19791.026041,841810.32,4676.724
2024-03-06,extreme greed,6814.825139,327218.02,3990.4636585365856
2024-03-08,extreme greed,4271.886236,183583.18,2740.047462686567
2024-03-09,extreme greed,9949.501624,658178.75,5625.459401709401
2024-03-10,extreme greed,2482.9272,219973.85,5237.472619047619
2024-03-11,extreme greed,3588.179495,176519.44999999998,4202.844047619047
2024-03-12,extreme greed,3039.166,103040.85,12880.10625
2024-03-13,extreme greed,0.0,6000.799999999999,857.2571428571428
2024-03-14,extreme greed,3465.865832,205933.18,11440.732222222221
2024-03-15,extreme greed,6236.513651,351894.41,5675.71629032258
2024-03-16,extreme greed,228.57984,37223.66,4652.9575
2024-03-17,extreme greed,503.293955,99506.95,4326.389130434783
2024-03-18,extreme greed,1456.9577,90458.08,4760.951578947369
2024-03-19,extreme greed,668.797973,219884.84,9161.868333333334
2024-03-20,greed,6423.134599,215705.85,3126.171739130435
2024-03-21,extreme greed,2335.5080749999997,117895.57,4210.556071428572
2024-03-24,greed,1297.018477,92592.20999999999,4873.274210526315
2024-03-25,extreme greed,1302.916428,57116.32,8159.4742857142855
2024-03-26,extreme greed,3215.906593,198565.19,1682.7558474576272
2024-03-27,extreme greed,150.41114,99864.79,2628.020789473684
2024-03-28,extreme greed,227.85100799999998,35323.72,2717.209230769231
2024-03-29,extreme greed,883.097404,86914.37,5794.291333333333
2024-03-30,extreme greed,1100.57514,101103.92,2246.753777777778
2024-03-31,extreme greed,912.786145,39912.96,3070.2276923076925
2024-04-01,extreme greed,2507.963406,339470.47,4408.7074025974025
2024-04-02,extreme greed,883.760812,239664.50999999998,5845.475853658536
2024-04-03,greed,126.7884,16887.57,4221.8925
2024-04-04,greed,0.0,95987.73,2999.6165625
2024-04-05,extreme greed,10706.484306,503791.8,5037.918
2024-04-06,extreme greed,236.33513399999998,68223.67,4263.979375
2024-04-07,extreme greed,0.0,49988.14,2173.397391304348
2024-04-08,extreme greed,1218.4267,211940.64,7064.688
2024-04-09,extreme greed,0.0,57063.840000000004,19021.280000000002
2024-04-10,extreme greed,5207.443414,351735.97,8578.926097560974
2024-04-11,extreme greed,389.743164,76400.96,4775.06
2024-04-12,extreme greed,-592.6458390000001,442088.59,3427.0433333333335
2024-04-13,greed,6621.451755,486411.25,5465.294943820225
2024-04-14,greed,-36104.012520000004,659162.17,6160.394112149533
2024-04-15,greed,3774.08872,291111.19,7100.272926829269
2024-04-16,greed,2467.702221,181907.17,3870.3653191489366
2024-04-17,greed,2441.4683999999997,97562.99,6968.785000000001
2024-04-19,greed,1946.4454620000001,337257.92000000004,9635.940571428573
2024-04-20,greed,0.0,60733.24,2760.601818181818
2024-04-22,greed,0.0,47993.61,5332.623333333333
2024-04-23,greed,1119.536196,233054.9,3531.1348484848486
2024-04-24,greed,279.185907,141275.24,7063.762
2024-04-25,greed,0.0,120241.01,1624.8785135135136
2024-04-26,greed,0.0,4988.290000000001,1662.7633333333335
2024-04-27,greed,4281.488139,154264.47,5713.498888888889
2024-04-28,greed,0.0,43985.6,758.3724137931034
2024-04-29,greed,526.9338359999999,108699.01,2415.5335555555553
2024-04-30,greed,0.0,125018.75,5209.114583333333
2024-05-01,neutral,0.0,87025.45,6216.103571428571
2024-05-03,neutral,5306.017045,282682.64999999997,7852.295833333333
2024-05-04,greed,0.0,58998.75,6555.416666666667
2024-05-05,greed,0.916,24068.350000000002,4011.391666666667
2024-05-06,greed,968.59038,206016.43,22890.714444444442
